Tempo (s)	Temperatura (°C)
0.0	0.19
0.1	29.17
0.2	29.11
0.3	29.23
0.4	29.23
0.5	29.17
0.6	29.23
0.7	29.23
0.8	29.17
0.9	29.39
1.0	29.39
1.1	29.33
1.2	29.29
1.3	29.29
1.4	29.33
1.5	29.23
1.6	29.21
1.8	29.19
1.9	29.19
2.0	29.17
2.1	29.11
2.2	29.23
2.3	29.23
2.4	29.17
2.5	29.23
2.6	29.23
2.7	29.17
2.8	29.39
2.9	29.39
3.0	29.33
3.1	29.29
3.2	29.29
3.3	29.33
3.4	29.23
3.5	29.21
3.6	28.89
3.7	28.89
3.8	28.89
3.9	28.93
4.0	28.85
4.1	28.85
4.2	28.85
4.3	28.79
4.4	28.79
4.5	28.79
4.6	28.79
4.7	28.77
4.8	28.77
4.9	28.75
5.1	28.67
5.2	28.67
5.3	28.73
5.4	28.75
5.5	28.75
5.6	28.73
5.7	28.77
5.8	28.89
5.9	28.89
6.0	28.83
6.1	28.85
6.2	28.85
6.3	28.85
6.4	28.95
6.5	28.95
6.6	28.99
6.7	28.97
6.8	28.97
6.9	28.95
7.0	28.89
7.1	28.95
7.2	28.95
7.3	28.89
7.4	28.93
7.5	28.93
7.6	29.01
7.7	28.97
7.8	28.97
7.9	28.89
8.1	28.97
8.2	28.97
8.3	29.05
8.4	28.97
8.5	29.03
8.6	29.03
8.7	29.13
8.8	29.19
8.9	29.19
9.0	29.19
9.1	29.09
9.2	29.09
9.3	29.11
9.4	29.25
9.5	29.25
9.6	29.25
9.7	29.19
9.8	29.21
9.9	29.21
10.0	29.21
10.1	29.15
10.2	29.15
10.3	29.19
10.4	29.15
10.5	29.15
10.6	29.13
10.7	29.09
10.8	29.09
10.9	29.09
11.0	29.03
11.2	29.07
11.3	29.07
11.4	29.03
11.5	29.17
11.6	29.17
11.7	29.23
11.8	29.27
11.9	29.27
12.0	29.29
12.1	29.27
12.2	29.31
12.3	29.31
12.4	29.37
12.5	29.19
12.6	29.19
12.7	29.19
12.8	29.17
12.9	29.17
13.0	29.21
13.1	29.15
13.2	29.15
13.3	29.13
13.4	29.05
13.5	28.97
13.6	28.97
13.7	29.01
13.8	28.89
13.9	28.89
14.0	28.87
14.1	28.95
14.3	28.95
14.4	28.97
14.5	29.13
14.6	29.13
14.7	29.05
14.8	29.15
14.9	29.15
15.0	29.15
15.1	29.13
15.2	29.05
15.3	29.05
15.4	29.03
15.5	29.03
15.6	29.03
15.7	29.03
15.8	28.97
15.9	28.93
16.0	28.93
16.1	28.95
16.2	29.01
16.3	29.01
16.4	29.07
16.5	29.07
16.6	29.07
16.7	29.15
16.8	29.07
16.9	29.07
17.0	29.15
17.2	29.17
17.3	29.31
17.4	29.31
17.5	29.31
17.6	29.21
17.7	29.21
17.8	29.27
17.9	29.23
18.0	29.23
18.1	29.23
18.2	29.25
18.3	29.25
18.4	29.35
18.5	29.33
